title,ingredients,instructions,picture_link
Downeast Maine Pumpkin Bread,"['1 (15 ounce) can pumpkin puree ADVERTISEMENT', '4 eggs ADVERTISEMENT', '1 cup vegetable oil ADVERTISEMENT', '2/3 cup water ADVERTISEMENT', '3 cups white sugar ADVERTISEMENT', '3 1/2 cups all-purpose flour ADVERTISEMENT', '2 teaspoons baking soda ADVERTISEMENT', '1 1/2 teaspoons salt ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '1 teaspoon ground nutmeg ADVERTISEMENT', '1/2 teaspoon ground cloves ADVERTISEMENT', '1/4 teaspoon ground ginger ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 7x3 inch loaf pans.
In a large bowl, mix together pumpkin puree, eggs, oil, water and sugar until well blended. In a separate bowl, whisk together the flour, baking soda, salt, cinnamon, nutmeg, cloves and ginger. Stir the dry ingredients into the pumpkin mixture until just blended. Pour into the prepared pans.
Bake for about 50 minutes in the preheated oven. Loaves are done when toothpick inserted in center comes out clean.
",bhIlNeSZ4DJw12AqM8FmEjHBO0NTCGi
"Best Big, Fat, Chewy Chocolate Chip Cookie","['2 cups all-purpose flour ADVERTISEMENT', '1/2 teaspoon baking soda ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '3/4 cup unsalted butter, melted ADVERTISEMENT', '1 cup packed brown sugar ADVERTISEMENT', '1/2 cup white sugar ADVERTISEMENT', '1 tablespoon vanilla extract ADVERTISEMENT', '1 egg ADVERTISEMENT', '1 egg yolk ADVERTISEMENT', '2 cups semisweet chocolate chips ADVERTISEMENT', 'ADVERTISEMENT']","Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper.
Sift together the flour, baking soda and salt; set aside.
In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart.
Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely.
",EmmrsVyOmMlydE188t/S5gtqhqeENfO
Aimee's Mashed Cauliflower 'Potatoes',"['1 pound cauliflower florets ADVERTISEMENT', '1/4 cup mashed potato flakes ADVERTISEMENT', '1/4 cup low-fat milk ADVERTISEMENT', '2 tablespoons margarine ADVERTISEMENT', 'salt and ground black pepper to taste ADVERTISEMENT', '1/4 cup shredded reduced-fat Cheddar cheese ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 375 degrees F (190 degrees C).
Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add cauliflower, cover, and steam until tender, about 20 minutes. Transfer cauliflower to a large bowl. Add mashed potato flakes, milk, and margarine; mash with a potato masher or fork until cauliflower mixture is fluffy. Season with salt and black pepper. Pour mixture into a baking dish and sprinkle with Cheddar cheese.
Bake in preheated oven until cheese is melted, about 10 minutes.
",2TsioRcazbkIxICdD6kx8bSAcld0Ome
Irish Lamb Stew,"['1 1/2 pounds thickly sliced bacon, diced ADVERTISEMENT', '6 pounds boneless lamb shoulder, cut into 2 inch pieces ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/2 teaspoon ground black pepper ADVERTISEMENT', '1/2 cup all-purpose flour ADVERTISEMENT', '3 cloves garlic, minced ADVERTISEMENT', '1 large onion, chopped ADVERTISEMENT', '1/2 cup water ADVERTISEMENT', '4 cups beef stock ADVERTISEMENT', '2 teaspoons white sugar ADVERTISEMENT', '4 cups diced carrots ADVERTISEMENT', '2 large onions, cut into bite-size pieces ADVERTISEMENT', '3 potatoes ADVERTISEMENT', '1 teaspoon dried thyme ADVERTISEMENT', '2 bay leaves ADVERTISEMENT', '1 cup white wine ADVERTISEMENT', 'ADVERTISEMENT']","Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble, and set aside.
Put lamb, salt, pepper, and flour in large mixing bowl. Toss to coat meat evenly. Brown meat in frying pan with bacon fat.
Place meat into stock pot (leave 1/4 cup of fat in frying pan). Add the garlic and yellow onion and saute till onion begins to become golden. Deglaze frying pan with 1/2 cup water and add the garlic-onion mixture to the stock pot with bacon pieces, beef stock, and sugar. Cover and simmer for 1 1/2 hours.
Add carrots, onions, potatoes, thyme, bay leaves, and wine to pot. Reduce heat, and simmer covered for 20 minutes until vegetables are tender.
",oSTtB5z6PHj5hGqwP..pk7rwqzef5v6
To Die For Blueberry Muffins,"['1 1/2 cups all-purpose flour ADVERTISEMENT', '3/4 cup white sugar ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '2 teaspoons baking powder ADVERTISEMENT', '1/3 cup vegetable oil ADVERTISEMENT', '1 egg ADVERTISEMENT', '1/3 cup milk ADVERTISEMENT', '1 cup fresh blueberries ADVERTISEMENT', '1/2 cup white sugar ADVERTISEMENT', '1/3 cup all-purpose flour ADVERTISEMENT', '1/4 cup butter, cubed ADVERTISEMENT', '1 1/2 teaspoons ground cinnamon ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 400 degrees F (200 degrees C). Grease muffin cups or line with muffin liners.
Combine 1 1/2 cups flour, 3/4 cup sugar, salt and baking powder. Place vegetable oil into a 1 cup measuring cup; add the egg and enough milk to fill the cup. Mix this with flour mixture. Fold in blueberries. Fill muffin cups right to the top, and sprinkle with crumb topping mixture.
To Make Crumb Topping: Mix together 1/2 cup sugar, 1/3 cup flour, 1/4 cup butter, and 1 1/2 teaspoons cinnamon. Mix with fork, and sprinkle over muffins before baking.
Bake for 20 to 25 minutes in the preheated oven, or until done.
",fnRIXaZevA9/KXRkgLd13a9qP7JQTya
Broiled Tilapia Parmesan,"['1/2 cup Parmesan cheese ADVERTISEMENT', '1/4 cup butter, softened ADVERTISEMENT', '3 tablespoons mayonnaise ADVERTISEMENT', '2 tablespoons fresh lemon juice ADVERTISEMENT', '1/4 teaspoon dried basil ADVERTISEMENT', '1/4 teaspoon ground black pepper ADVERTISEMENT', '1/8 teaspoon onion powder ADVERTISEMENT', '1/8 teaspoon celery salt ADVERTISEMENT', '2 pounds tilapia fillets ADVERTISEMENT', 'ADVERTISEMENT']","Preheat your oven's broiler. Grease a broiling pan or line pan with aluminum foil.
In a small bowl, mix together the Parmesan cheese, butter, mayonnaise and lemon juice. Season with dried basil, pepper, onion powder and celery salt. Mix well and set aside.
Arrange fillets in a single layer on the prepared pan. Broil a few inches from the heat for 2 to 3 minutes. Flip the fillets over and broil for a couple more minutes. Remove the fillets from the oven and cover them with the Parmesan cheese mixture on the top side. Broil for 2 more minutes or until the topping is browned and fish flakes easily with a fork. Be careful not to over cook the fish.
",8EYp6Ol.jsDv7u4PQS0AGonthM2zdOu
Award Winning Soft Chocolate Chip Cookies,"['4 1/2 cups all-purpose flour ADVERTISEMENT', '2 teaspoons baking soda ADVERTISEMENT', '2 cups butter, softened ADVERTISEMENT', '1 1/2 cups packed brown sugar ADVERTISEMENT', '1/2 cup white sugar ADVERTISEMENT', '2 (3.4 ounce) packages instant vanilla pudding mix ADVERTISEMENT', '4 eggs ADVERTISEMENT', '2 teaspoons vanilla extract ADVERTISEMENT', '4 cups semisweet chocolate chips ADVERTISEMENT', '2 cups chopped walnuts (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Sift together the flour and baking soda, set aside.
In a large bowl, cream together the butter, brown sugar, and white sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour mixture. Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets.
Bake for 10 to 12 minutes in the preheated oven. Edges should be golden brown.
",PqQB4r./GIiG1AqoXKdheQIvD91Qrh2
World's Best Lasagna,"['1 pound sweet Italian sausage ADVERTISEMENT', '3/4 pound lean ground beef ADVERTISEMENT', '1/2 cup minced onion ADVERTISEMENT', '2 cloves garlic, crushed ADVERTISEMENT', '1 (28 ounce) can crushed tomatoes ADVERTISEMENT', '2 (6 ounce) cans tomato paste ADVERTISEMENT', '2 (6.5 ounce) cans canned tomato sauce ADVERTISEMENT', '1/2 cup water ADVERTISEMENT', '2 tablespoons white sugar ADVERTISEMENT', '1 1/2 teaspoons dried basil leaves ADVERTISEMENT', '1/2 teaspoon fennel seeds ADVERTISEMENT', '1 teaspoon Italian seasoning ADVERTISEMENT', '1 tablespoon salt ADVERTISEMENT', '1/4 teaspoon ground black pepper ADVERTISEMENT', '4 tablespoons chopped fresh parsley ADVERTISEMENT', '12 lasagna noodles ADVERTISEMENT', '16 ounces ricotta cheese ADVERTISEMENT', '1 egg ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '3/4 pound mozzarella cheese, sliced ADVERTISEMENT', '3/4 cup grated Parmesan cheese ADVERTISEMENT', 'ADVERTISEMENT']","In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 tablespoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally.
Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt.
Preheat oven to 375 degrees F (190 degrees C).
To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese.
Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving.
",MwTU49F./0X4dCuRQKW1OR2hT19l.xq
Best Brownies,"['1/2 cup butter ADVERTISEMENT', '1 cup white sugar ADVERTISEMENT', '2 eggs ADVERTISEMENT', '1 teaspoon vanilla extract ADVERTISEMENT', '1/3 cup unsweetened cocoa powder ADVERTISEMENT', '1/2 cup all-purpose flour ADVERTISEMENT', '1/4 teaspoon salt ADVERTISEMENT', '1/4 teaspoon baking powder ADVERTISEMENT', 'Frosting: ADVERTISEMENT', '3 tablespoons butter, softened ADVERTISEMENT', '3 tablespoons unsweetened cocoa powder ADVERTISEMENT', '1 tablespoon honey ADVERTISEMENT', '1 teaspoon vanilla extract ADVERTISEMENT', ""1 cup confectioners' sugar ADVERTISEMENT"", 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 8-inch square pan.
In a large saucepan, melt 1/2 cup butter. Remove from heat, and stir in sugar, eggs, and 1 teaspoon vanilla. Beat in 1/3 cup cocoa, 1/2 cup flour, salt, and baking powder. Spread batter into prepared pan.
Bake in preheated oven for 25 to 30 minutes. Do not overcook.
To Make Frosting: Combine 3 tablespoons softened butter, 3 tablespoons cocoa, honey, 1 teaspoon vanilla extract, and 1 cup confectioners' sugar. Stir until smooth. Frost brownies while they are still warm.
",6AyX9Y/Hh582pLBPWg7CbknovO0Xafe
Irish Soda Bread,"['1/2 cup white sugar ADVERTISEMENT', '4 cups all-purpose flour ADVERTISEMENT', '2 teaspoons baking powder ADVERTISEMENT', '1 teaspoon baking soda ADVERTISEMENT', '3/4 teaspoon salt ADVERTISEMENT', '3 cups raisins ADVERTISEMENT', '1 tablespoon caraway seeds ADVERTISEMENT', '2 eggs, lightly beaten ADVERTISEMENT', '1 1/4 cups buttermilk ADVERTISEMENT', '1 cup sour cream ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Grease a 9 inch round cast iron skillet or a 9 inch round baking or cake pan.
In a mixing bowl, combine flour (reserving 1 tablespoon), sugar, baking powder, baking soda, salt, raisins and caraway seeds. In a small bowl, blend eggs, buttermilk and sour cream. Stir the liquid mixture into flour mixture just until flour is moistened. Knead dough in bowl about 10 to 12 strokes. Dough will be sticky. Place the dough in the prepared skillet or pan and pat down. Cut a 4x3/4 inch deep slit in the top of the bread. Dust with reserved flour
Bake in a preheated 350 degrees F (175 degrees C) oven for 65 to 75 minutes. Let cool and turn bread onto a wire rack.
",ObgOhw2nfJn.uyYHnWftrPa7Jek46T2
Delicious Ham and Potato Soup,"['3 1/2 cups peeled and diced potatoes ADVERTISEMENT', '1/3 cup diced celery ADVERTISEMENT', '1/3 cup finely chopped onion ADVERTISEMENT', '3/4 cup diced cooked ham ADVERTISEMENT', '3 1/4 cups water ADVERTISEMENT', '2 tablespoons chicken bouillon granules ADVERTISEMENT', '1/2 teaspoon salt, or to taste ADVERTISEMENT', '1 teaspoon ground white or black pepper, or to taste ADVERTISEMENT', '5 tablespoons butter ADVERTISEMENT', '5 tablespoons all-purpose flour ADVERTISEMENT', '2 cups milk ADVERTISEMENT', 'ADVERTISEMENT']","Combine the potatoes, celery, onion, ham and water in a stockpot. Bring to a boil, then cook over medium heat until potatoes are tender, about 10 to 15 minutes. Stir in the chicken bouillon, salt and pepper.
In a separate saucepan, melt butter over medium-low heat. Whisk in flour with a fork, and cook, stirring constantly until thick, about 1 minute. Slowly stir in milk as not to allow lumps to form until all of the milk has been added. Continue stirring over medium-low heat until thick, 4 to 5 minutes.
Stir the milk mixture into the stockpot, and cook soup until heated through. Serve immediately.
",Ve83fJ5ulFEOFoIjWsgDl8Ro56GAtby
Chicken Pot Pie IX,"['1 pound skinless, boneless chicken breast halves - cubed ADVERTISEMENT', '1 cup sliced carrots ADVERTISEMENT', '1 cup frozen green peas ADVERTISEMENT', '1/2 cup sliced celery ADVERTISEMENT', '1/3 cup butter ADVERTISEMENT', '1/3 cup chopped onion ADVERTISEMENT', '1/3 cup all-purpose flour ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/4 teaspoon black pepper ADVERTISEMENT', '1/4 teaspoon celery seed ADVERTISEMENT', '1 3/4 cups chicken broth ADVERTISEMENT', '2/3 cup milk ADVERTISEMENT', '2 (9 inch) unbaked pie crusts ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 425 degrees F (220 degrees C.)
In a saucepan, combine chicken, carrots, peas, and celery. Add water to cover and boil for 15 minutes. Remove from heat, drain and set aside.
In the saucepan over medium heat, cook onions in butter until soft and translucent. Stir in flour, salt, pepper, and celery seed. Slowly stir in chicken broth and milk. Simmer over medium-low heat until thick. Remove from heat and set aside.
Place the chicken mixture in bottom pie crust. Pour hot liquid mixture over. Cover with top crust, seal edges, and cut away excess dough. Make several small slits in the top to allow steam to escape.
Bake in the preheated oven for 30 to 35 minutes, or until pastry is golden brown and filling is bubbly. Cool for 10 minutes before serving.
",39ec69lJMInLCpNnHSASWBMhWBjpd5i
Fluffy Pancakes,"['3/4 cup milk ADVERTISEMENT', '2 tablespoons white vinegar ADVERTISEMENT', '1 cup all-purpose flour ADVERTISEMENT', '2 tablespoons white sugar ADVERTISEMENT', '1 teaspoon baking powder ADVERTISEMENT', '1/2 teaspoon baking soda ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1 egg ADVERTISEMENT', '2 tablespoons butter, melted ADVERTISEMENT', 'cooking spray ADVERTISEMENT', 'ADVERTISEMENT']","Combine milk with vinegar in a medium bowl and set aside for 5 minutes to ""sour"".
Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into ""soured"" milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone.
Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.
",fLPXevtD6/zo9jBfqyM49TZDgLgnU1m
